read_name,true_start,aligned_start,abs_pos_error,mapq,error_rate,is_coding,region,tool
read_380_start47715797_len10000,47715797,47715798,1,60,0.0529,False,noncoding,ngmlr
read_381_start40846003_len10000,40846003,40846004,1,60,0.0563,False,noncoding,ngmlr
read_384_start32181325_len10000,32181325,32181329,4,57,0.0447,False,noncoding,ngmlr
read_385_start44179986_len10000,44179986,44179987,1,60,0.0509,False,noncoding,ngmlr
read_386_start27123491_len10000,27123491,27123492,1,60,0.0526,False,noncoding,ngmlr
read_389_start18982177_len10000,18982177,18982178,1,60,0.0524,False,noncoding,ngmlr
read_390_start13982698_len10000,13982698,13982707,9,8,0.0526,False,noncoding,ngmlr
read_391_start44680922_len10000,44680922,44680929,7,60,0.0473,False,noncoding,ngmlr
read_392_start11217293_len10000,11217293,11217297,4,58,0.0496,False,noncoding,ngmlr
read_393_start19263882_len10000,19263882,19263890,8,60,0.0537,False,noncoding,ngmlr
read_394_start21833459_len10000,21833459,21833460,1,60,0.0485,False,noncoding,ngmlr
read_395_start34600103_len10000,34600103,34600104,1,60,0.0544,False,noncoding,ngmlr
read_397_start15825205_len10000,15825205,15825207,2,60,0.0509,False,noncoding,ngmlr
read_398_start47313923_len10000,47313923,47313924,1,60,0.0488,False,noncoding,ngmlr
read_399_start46500166_len10000,46500166,46500167,1,60,0.0446,False,noncoding,ngmlr
read_400_start32301779_len10000,32301779,32301780,1,60,0.0499,False,noncoding,ngmlr
read_403_start29985312_len10000,29985312,29985313,1,60,0.0542,False,noncoding,ngmlr
read_404_start25031482_len10000,25031482,25031489,7,60,0.0519,False,noncoding,ngmlr
read_406_start27387438_len10000,27387438,27387441,3,60,0.0499,False,noncoding,ngmlr
read_408_start28937325_len10000,28937325,28937332,7,60,0.0466,False,noncoding,ngmlr
read_409_start30786520_len10000,30786520,30786529,9,60,0.0461,False,noncoding,ngmlr
read_412_start29089868_len10000,29089868,29089873,5,60,0.0524,False,noncoding,ngmlr
read_413_start33161068_len10000,33161068,33161073,5,60,0.0507,False,noncoding,ngmlr
read_414_start42121311_len10000,42121311,42121313,2,34,0.0503,False,noncoding,ngmlr
read_415_start42702758_len10000,42702758,42702759,1,60,0.0484,False,noncoding,ngmlr
